number,value,datetime_start,datetime_complete,duration,state
0,0.3135720270364126,2020-06-09 14:08:42.065574,2020-06-09 14:27:53.113437,0 days 00:19:11.047863000,COMPLETE
1,0.3144900183649159,2020-06-09 14:27:53.114431,2020-06-09 14:46:58.979503,0 days 00:19:05.865072000,COMPLETE
2,0.31358588251056274,2020-06-09 14:46:58.980459,2020-06-09 15:05:48.020239,0 days 00:18:49.039780000,COMPLETE
3,0.3116116711435,2020-06-09 15:05:48.021699,2020-06-09 15:27:02.084394,0 days 00:21:14.062695000,COMPLETE
4,0.31255183204023207,2020-06-09 15:27:02.086386,2020-06-09 15:46:36.788282,0 days 00:19:34.701896000,COMPLETE
5,0.3142473732764193,2020-06-09 15:46:36.789221,2020-06-09 16:05:21.116580,0 days 00:18:44.327359000,COMPLETE
6,0.3137718424620432,2020-06-09 16:05:21.117572,2020-06-09 16:23:36.949894,0 days 00:18:15.832322000,COMPLETE
7,0.31352718683191555,2020-06-09 16:23:36.951382,2020-06-09 16:42:05.585807,0 days 00:18:28.634425000,COMPLETE
8,0.31407557125936075,2020-06-09 16:42:05.586975,2020-06-09 17:01:19.392099,0 days 00:19:13.805124000,COMPLETE
9,0.3149730520058364,2020-06-09 17:01:19.393091,2020-06-09 17:20:00.616068,0 days 00:18:41.222977000,COMPLETE
